1,45,116,116,0,0,MANGOTE P 45 1 METRO,30
2,1,1,1,0,0,TESTE,1
1,6,7899922800057,900.045.04,45,4,CASACO LUXO 900 GG,0
1,8,7899922800071,900.005.02,5,2,CASACO LUXO 900 BRANCO M,0
1,9,7899922800088,900.005.03,5,3,CASACO LUXO 900 BRANCO G,0
1,10,7899922800095,900.005.04,5,4,CASACO LUXO 900 BRANCO GG,0
1,11,7899922800101,900.006.01,6,1,CASACO LUXO 900 CINZA P,0
1,12,7899922800118,900.006.02,6,2,CASACO LUXO 900 CINZA M,0
1,13,7899922800125,900.006.03,6,3,CASACO LUXO 900 CINZA G,0
1,14,7899922800132,900.006.04,6,4,CASACO LUXO 900 CINZA GG,0
1,16,"",901,0,0,ESTOLA LUXO,0
1,17,7899922800163,901.045.06,45,6,ESTOLA LUXO 901 UNICO,0
1,18,7899922800170,901.003.06,3,6,ESTOLA LUXO 901 NATURAL UNI,0
1,19,7899922800187,901.004.06,4,6,ESTOLA LUXO 901 CREME UNI,0
1,20,7899922800194,901.005.06,5,6,ESTOLA LUXO 901 BRANCO UNI,0
1,22,"",902,0,0,CAPA GLAMOUR,0
1,23,7899922800217,902.045.06,45,6,CAPA GLAMOUR 902 UNICO,0
1,24,7899922800224,902.002.06,2,6,CAPA GLAMOUR 902 PRETO UNI,0
1,25,7899922800231,902.006.06,6,6,CAPA GLAMOUR 902 CINZA UNI,0
1,26,7899922800248,902.017.06,17,6,CAPA GLAMOUR 902 CINZA MESCLA UNI,0
1,28,"",903,0,0,CASACO PRENE,0
1,29,7899922800279,903.002.01,2,1,CASACO PRENE 903 PRETO P,0
1,30,7899922800286,903.002.02,2,2,CASACO PRENE 903 PRETO M,0
1,31,7899922800293,903.002.03,2,3,CASACO PRENE 903 PRETO G,0
1,32,7899922800309,903.002.04,2,4,CASACO PRENE 903 PRETO GG,0
1,33,7899922800316,903.005.01,5,1,CASACO PRENE 903 BRANCO P,0
1,34,7899922800323,903.005.02,5,2,CASACO PRENE 903 BRANCO M,0
1,35,7899922800330,903.005.03,5,3,CASACO PRENE 903 BRANCO G,0
1,36,7899922800347,903.005.04,5,4,CASACO PRENE 903 BRANCO GG,0
1,37,7899922800354,903.007.01,7,1,CASACO PRENE 903 MARROM P,0
1,38,7899922800361,903.007.02,7,2,CASACO PRENE 903 MARROM M,0
1,39,7899922800378,903.007.03,7,3,CASACO PRENE 903 MARROM G,0
1,40,7899922800385,903.007.04,7,4,CASACO PRENE 903 MARROM GG,0
1,41,7899922800392,903.008.01,8,1,CASACO PRENE 903 NUDE P,0
1,42,7899922800408,903.008.02,8,2,CASACO PRENE 903 NUDE M,0
1,43,7899922800415,903.008.03,8,3,CASACO PRENE 903 NUDE G,0
1,44,7899922800422,903.008.04,8,4,CASACO PRENE 903 NUDE GG,0
1,46,"",904,0,0,COLETE TRICOT,0
1,47,7899922800446,904.045.01,45,1,COLETE TRICOT 904 P,0
1,48,7899922800453,904.045.02,45,2,COLETE TRICOT 904 M,0
1,49,7899922800460,904.045.03,45,3,COLETE TRICOT 904 G,0
1,50,7899922800477,904.045.04,45,4,COLETE TRICOT 904 GG,0
1,51,7899922800484,904.002.01,2,1,COLETE TRICOT 904 PRETO P,0
1,52,7899922800491,904.002.02,2,2,COLETE TRICOT 904 PRETO M,0
1,53,7899922800507,904.002.03,2,3,COLETE TRICOT 904 PRETO G,0
1,54,7899922800514,904.002.04,2,4,COLETE TRICOT 904 PRETO GG,0
1,55,7899922800521,904.006.01,6,1,COLETE TRICOT 904 CINZA P,0
1,56,7899922800538,904.006.02,6,2,COLETE TRICOT 904 CINZA M,0
1,57,7899922800545,904.006.03,6,3,COLETE TRICOT 904 CINZA G,0
1,58,7899922800552,904.006.04,6,4,COLETE TRICOT 904 CINZA GG,0
1,59,7899922800569,904.007.01,7,1,COLETE TRICOT 904 MARROM P,0
1,60,7899922800576,904.007.02,7,2,COLETE TRICOT 904 MARROM M,0
1,61,7899922800583,904.007.03,7,3,COLETE TRICOT 904 MARROM G,0
1,62,7899922800590,904.007.04,7,4,COLETE TRICOT 904 MARROM GG,0
1,64,"",905,0,0,COLETE LUXO,0
1,65,7899922800613,905.045.01,45,1,COLETE LUXO 905 P,0
1,66,7899922800620,905.045.02,45,2,COLETE LUXO 905 M,0
1,67,7899922800637,905.045.03,45,3,COLETE LUXO 905 G,0
1,4,7899922800033,900.045.02,45,2,CASACO LUXO 900 M,40.21
1,5,7899922800040,900.045.03,45,3,CASACO LUXO 900 G,30.25
1,3,7899922800026,900.045.01,45,1,CASACO LUXO 900 P,350
1,2,900,900,0,0,CASACO LUXO,1520.31
1,7,7899922800064,900.005.01,5,1,CASACO LUXO 900 BRANCO P,1150.93
1,68,7899922800644,905.045.04,45,4,COLETE LUXO 905 GG,0
1,69,7899922800651,905.002.01,2,1,COLETE LUXO 905 PRETO P,0
1,70,7899922800668,905.002.02,2,2,COLETE LUXO 905 PRETO M,0
1,71,7899922800675,905.002.03,2,3,COLETE LUXO 905 PRETO G,0
1,72,7899922800682,905.002.04,2,4,COLETE LUXO 905 PRETO GG,0
1,73,7899922800699,905.005.01,5,1,COLETE LUXO 905 BRANCO P,0
1,74,7899922800705,905.005.02,5,2,COLETE LUXO 905 BRANCO M,0
1,75,7899922800712,905.005.03,5,3,COLETE LUXO 905 BRANCO G,0
1,76,7899922800729,905.005.04,5,4,COLETE LUXO 905 BRANCO GG,0
1,77,7899922800736,905.006.01,6,1,COLETE LUXO 905 CINZA P,0
1,78,7899922800743,905.006.02,6,2,COLETE LUXO 905 CINZA M,0
1,79,7899922800750,905.006.03,6,3,COLETE LUXO 905 CINZA G,0
1,80,7899922800767,905.006.04,6,4,COLETE LUXO 905 CINZA GG,0
1,81,7899922800774,905.007.01,7,1,COLETE LUXO 905 MARROM P,0
1,82,7899922815839,000082,0,0,PELE GAMULA,10.9
1,83,7899922821298,22,2,6,TOUCA POM POM,0
